"muslim_bin","mean_muslim","coverage_female0","n_female0","coverage_female1","n_female1","diff"
"[0,0.05)",0.0266665242032762,29.3577127659575,1504,28.7946808510639,940,-0.563031914893628
"[0.05,0.1)",0.0712548879285654,28.0680100755667,1191,25.1509677419355,775,-2.91704233363124
"[0.1,0.15)",0.123070235524712,26.4793103448276,580,22.3738601823708,329,-4.10545016245675
"[0.15,0.2)",0.173008422913222,27.3390804597701,348,22.5542857142857,175,-4.78479474548439
"[0.2,0.25)",0.221727145260031,33.0181818181818,220,14.264,125,-18.7541818181818
"[0.25,0.3)",0.273202024715048,21.7112676056338,142,27.6666666666667,99,5.95539906103285
"[0.3,0.35)",0.323100733391026,22.9649122807018,114,55.3561643835616,73,32.3912521028599
"[0.35,0.4)",0.372638671889025,31.9058823529412,85,22.1129032258064,62,-9.79297912713474
"[0.4,0.45)",0.421935902125594,35.6521739130435,69,36.8666666666667,45,1.21449275362318
"[0.45,0.5)",0.474225762944955,24.7692307692308,52,31.44,25,6.67076923076923
"[0.5,0.55)",0.521704438854666,15.2058823529412,34,33.1142857142857,35,17.9084033613445
"[0.6,0.65)",0.623277404091575,14.6969696969697,33,43.7272727272727,22,29.030303030303
