"state","muslim_bin","pref_female0","n_female0","pref_female1","n_female1","diff"
"ALL STATES POOLED","[0,0.1]",0.464041564123598,3657,0.466197183098592,4260,0.00215561897499306
"ALL STATES POOLED","(0.1,0.2]",0.322674418604651,344,0.391184573002755,363,0.0685101543981038
"ALL STATES POOLED","(0.2,0.3]",0.519125683060109,183,0.519230769230769,208,0.000105086170660074
"ALL STATES POOLED","(0.3,0.4]",0.55688622754491,167,0.505208333333333,192,-0.051677894211577
"ALL STATES POOLED","(0.4,0.5]",0.424242424242424,66,0.448717948717949,78,0.0244755244755245
"ALL STATES POOLED","(0.5,0.6]",0.291666666666667,24,0.454545454545455,22,0.162878787878788
"ALL STATES POOLED","(0.6,0.7]",0.576923076923077,26,0.565217391304348,23,-0.0117056856187292
"ALL STATES POOLED","(0.9,1]",0.357142857142857,14,0.304347826086957,23,-0.0527950310559006
"Uttar Pradesh","[0,0.1]",0.463030303030303,825,0.469135802469136,891,0.00610549943883271
"Uttar Pradesh","(0.1,0.2]",0.372881355932203,177,0.379888268156425,179,0.00700691222422112
"Uttar Pradesh","(0.2,0.3]",0.53125,32,0.48,25,-0.05125
"Uttar Pradesh","(0.3,0.4]",0.540983606557377,61,0.418918918918919,74,-0.122064687638458
"Uttar Pradesh","(0.4,0.5]",0.413793103448276,29,0.333333333333333,33,-0.0804597701149425
"Uttar Pradesh","(0.5,0.6]",0.466666666666667,15,0.625,16,0.158333333333333
"Madhya Pradesh","[0,0.1]",0.482213438735178,1012,0.458823529411765,1190,-0.023389909323413
"Madhya Pradesh","(0.1,0.2]",0.548387096774194,31,0.696969696969697,33,0.148582600195504
"Madhya Pradesh","(0.2,0.3]",0.19047619047619,21,0.25,28,0.0595238095238095
"Bihar","[0,0.1]",0.507157464212679,978,0.5143299767622,1291,0.00717251254952078
"Bihar","(0.1,0.2]",0.252631578947368,95,0.37962962962963,108,0.126998050682261
"Bihar","(0.2,0.3]",0.660714285714286,112,0.706349206349206,126,0.0456349206349205
"Bihar","(0.3,0.4]",0.586666666666667,75,0.545454545454545,88,-0.0412121212121213
"Bihar","(0.4,0.5]",0.432432432432432,37,0.533333333333333,45,0.100900900900901
"Bihar","(0.6,0.7]",0.9,10,0.909090909090909,11,0.00909090909090904
"Rajasthan","[0,0.1]",0.373563218390805,522,0.37156704361874,619,-0.00199617477206449
"Rajasthan","(0.1,0.2]",0.137931034482759,29,0.303030303030303,33,0.165099268547544
"Rajasthan","(0.2,0.3]",0,18,0,29,0
"Rajasthan","(0.3,0.4]",0.516129032258065,31,0.6,30,0.0838709677419355
"Haryana","[0,0.1]",0.425,320,0.475836431226766,269,0.0508364312267658
"Haryana","(0.1,0.2]",0,12,0,10,0
