"muslim_share","diff","se_diff","ci_lo","ci_hi","significant","outcome"
0.05,0.089730914880528,0.0118104834657583,0.0665823672876417,0.112879462473414,TRUE,"Toilet Use (Table 2, models 1-2)"
0.1,0.0995044086540735,0.0187980856655191,0.062660160749656,0.136348656558491,TRUE,"Toilet Use (Table 2, models 1-2)"
0.15,0.106273016352425,0.0237299604358049,0.0597622938982476,0.152783738806603,TRUE,"Toilet Use (Table 2, models 1-2)"
0.2,0.110018836957545,0.0246956422144939,0.0616153782171373,0.158422295697954,TRUE,"Toilet Use (Table 2, models 1-2)"
0.25,0.113437491717395,0.0247325259603706,0.0649617408350682,0.161913242599721,TRUE,"Toilet Use (Table 2, models 1-2)"
0.3,0.120204973759786,0.0276793096981908,0.0659535267513322,0.17445642076824,TRUE,"Toilet Use (Table 2, models 1-2)"
0.35,0.133093084408841,0.032823568908531,0.0687588893481207,0.197427279469562,TRUE,"Toilet Use (Table 2, models 1-2)"
0.4,0.153345913338138,0.0367406064712888,0.0813343246544122,0.225357502021864,TRUE,"Toilet Use (Table 2, models 1-2)"
0.45,0.179492054639204,0.0381003166929421,0.104815433921037,0.25416867535737,TRUE,"Toilet Use (Table 2, models 1-2)"
0.5,0.20698550244595,0.0386615066512252,0.131208949409549,0.282762055482352,TRUE,"Toilet Use (Table 2, models 1-2)"
0.05,0.0192057736491295,0.0117556746716371,-0.00383534870727929,0.0422468960055383,FALSE,"Latrine Preference (Table 2, models 3-5)"
0.1,0.034844836852739,0.0165655305501321,0.00237639697448009,0.0673132767309979,TRUE,"Latrine Preference (Table 2, models 3-5)"
0.15,0.0430598841862509,0.0205207951178489,0.00283912575526701,0.0832806426172348,TRUE,"Latrine Preference (Table 2, models 3-5)"
0.2,0.0404698218665145,0.0220025334234312,-0.00265514364341068,0.0835947873764397,FALSE,"Latrine Preference (Table 2, models 3-5)"
0.25,0.0283723529740346,0.0230245681866872,-0.0167558006718723,0.0735005066199415,FALSE,"Latrine Preference (Table 2, models 3-5)"
0.3,0.0110763968301322,0.0259045956878171,-0.0396966107179894,0.0618494043782538,FALSE,"Latrine Preference (Table 2, models 3-5)"
0.35,-0.00614196490007063,0.0303963264983742,-0.0657187648368841,0.0534348350367428,FALSE,"Latrine Preference (Table 2, models 3-5)"
0.4,-0.0182273909541904,0.0349784989819069,-0.086785248958728,0.0503304670503471,FALSE,"Latrine Preference (Table 2, models 3-5)"
0.45,-0.0221211100905843,0.0394242484875533,-0.0993926371261887,0.0551504169450202,FALSE,"Latrine Preference (Table 2, models 3-5)"
0.5,-0.0177958014103125,0.0448639145136792,-0.105729073857124,0.0701374710364988,FALSE,"Latrine Preference (Table 2, models 3-5)"
