"bin","dropped_n","remaining_n","coef","se","change_from_full","pct_change"
"Full Sample",0,7263,107.438225743559,47.5577181930298,0,0
"[0.00, 0.05)",2444,4819,124.714728922148,55.6422229852596,17.2765031785896,16.0804062604556
"[0.05, 0.10)",1966,5297,112.477598647108,48.4619278563399,5.03937290354918,4.69048410719061
"[0.10, 0.15)",909,6354,107.120027805483,47.5802966595212,-0.318197938075087,-0.296168273324418
"[0.15, 0.20)",523,6740,110.669042264385,47.8265508066355,3.230816520826,3.00713875202812
"[0.20, 0.25)",345,6918,112.432076090326,48.3200392643365,4.9938503467679,4.64811319454176
"[0.25, 0.30)",241,7022,110.154410771026,49.4605134926178,2.71618502746796,2.52813652558927
"[0.30, 0.35)",187,7076,98.7311125555522,49.6212038118197,-8.70711318800633,-8.10429726267922
"[0.35, 0.40)",147,7116,126.062942254741,49.6089410297644,18.6247165111825,17.3352793033248
"[0.40, 0.45)",114,7149,116.785376477004,47.7043630993114,9.34715073344583,8.70002335645071
"[0.45, 0.50)",77,7186,89.5347094193796,51.2273364772515,-17.9035163241789,-16.6640096672038
"[0.50, 0.55)",69,7194,120.262529939237,49.8543051567991,12.8243041956789,11.9364445074594
"[0.55, 0.60)",50,7213,81.5170378554341,43.9027805284697,-25.9211878881244,-24.1265971294007
"[0.60, 0.65)",55,7208,130.096874514503,52.2531911851765,22.6586487709441,21.0899320182627
"[0.65, 0.70)",40,7223,88.7597283688556,45.4526872982735,-18.6784973747029,-17.3853367788166
"[0.70, 0.75)",31,7232,105.263642843981,48.2107566247639,-2.17458289957769,-2.02403091127746
"[0.75, 0.80)",26,7237,100.912280546838,50.7797310717571,-6.52594519672066,-6.07413716259357
"[0.80, 0.85)",13,7250,104.801137045176,49.2469619286587,-2.63708869838261,-2.45451623957102
"[0.85, 0.90)",15,7248,104.965921050273,50.3981125069146,-2.47230469328557,-2.30114065657287
