"true_effect","se","power","type_m","type_s","observed_coef","observed_se","observed_pval","mde_80","power_at_observed"
NA,47.5577181930298,NA,NA,NA,107.438225743559,47.5577181930298,0.0238764007292926,133.237000296774,0.617598820787257
100,47.5577181930298,0.55598,1.33492158583475,5.39587754955214e-05,NA,NA,NA,NA,NA
75,47.5577181930298,0.35154,1.66722546869741,0.000568925300108096,NA,NA,NA,NA,NA
50,47.5577181930298,0.18422,2.38059176695392,0.00743676039517968,NA,NA,NA,NA,NA
35,47.5577181930298,0.11339,3.30113596091914,0.0298086250992151,NA,NA,NA,NA,NA
25,47.5577181930298,0.08318,4.55662412527281,0.082591969223371,NA,NA,NA,NA,NA
15,47.5577181930298,0.06194,7.52107453784209,0.188085243784307,NA,NA,NA,NA,NA
10,47.5577181930298,0.05489,11.1878728613393,0.274366915649481,NA,NA,NA,NA,NA
5,47.5577181930298,0.05231,22.2149028326844,0.375262856050468,NA,NA,NA,NA,NA
