"State","Model","DV","N","Mean_DV","Female_Coef","Female_SE","Interaction_Coef","Interaction_SE","Note"
"All States (Pooled)","m1","toiletuse",7752,0.7976,0.0833,0.0088,0.1254,0.0434,""
"All States (Pooled)","m2","toiletuse",7738,0.7976,0.0833,0.0069,0.1335,0.0368,""
"All States (Pooled)","m3","latrine_pref1",1477,0.4537,0.0325,0.0327,0.3364,0.2199,""
"All States (Pooled)","m4","latrine_pref2",1477,0.6448,-0.012,0.0305,0.4339,0.2003,""
"All States (Pooled)","m5","latrine_pref3",1477,0.7837,0.0011,0.0273,0.3777,0.1835,""
"Haryana","m1","toiletuse",2473,0.8471,0.0613,0.0142,0.5713,0.4124,""
"Haryana","m2","toiletuse",2469,0.8471,0.0642,0.0116,0.8051,0.2917,""
"Haryana","m3","latrine_pref1",104,0.4348,0.1252,0.1635,-5.0155,6.4307,""
"Haryana","m4","latrine_pref2",104,0.7043,-0.0734,0.1425,-0.5005,3.901,""
"Haryana","m5","latrine_pref3",104,0.8261,0.078,0.1254,-2.1043,3.1946,""
"Bihar","m1","toiletuse",1135,0.7833,0.0877,0.0229,0.022,0.1124,""
"Bihar","m2","toiletuse",1132,0.7833,0.0763,0.0179,0.0392,0.0888,""
"Bihar","m3","latrine_pref1",408,0.4868,0.0303,0.0686,0.4273,0.4308,""
"Bihar","m4","latrine_pref2",408,0.6667,0.0753,0.0657,0.4402,0.3833,""
"Bihar","m5","latrine_pref3",408,0.8129,0.041,0.0569,0.2874,0.3315,""
"Uttar Pradesh","m1","toiletuse",1829,0.8075,0.1027,0.0192,0.1666,0.0852,""
"Uttar Pradesh","m2","toiletuse",1825,0.8075,0.106,0.0152,0.1357,0.0721,""
"Uttar Pradesh","m3","latrine_pref1",385,0.4413,0.0821,0.0642,-0.3045,0.4222,""
"Uttar Pradesh","m4","latrine_pref2",385,0.6173,0.1166,0.0616,-0.5998,0.3855,""
"Uttar Pradesh","m5","latrine_pref3",385,0.7781,0.0414,0.0503,0.2579,0.3276,""
"Madhya Pradesh","m1","toiletuse",1785,0.7541,0.0872,0.0184,0.0553,0.0656,""
"Madhya Pradesh","m2","toiletuse",1782,0.7541,0.0921,0.0136,0.0851,0.052,""
"Madhya Pradesh","m3","latrine_pref1",382,0.4935,-0.0348,0.0615,0.9874,0.2681,""
"Madhya Pradesh","m4","latrine_pref2",382,0.6779,-0.1117,0.0554,1.069,0.2279,""
"Madhya Pradesh","m5","latrine_pref3",382,0.7792,-0.0449,0.0509,0.6031,0.2727,""
"Rajasthan","m1","toiletuse",530,0.7094,0.086,0.0388,0.3367,0.2861,""
"Rajasthan","m2","toiletuse",530,0.7094,0.0704,0.0352,0.3165,0.2352,""
"Rajasthan","m3","latrine_pref1",193,0.3448,0.0216,0.0983,-0.8449,0.8101,""
"Rajasthan","m4","latrine_pref2",193,0.5567,-0.1112,0.0904,-0.1542,1.0792,""
"Rajasthan","m5","latrine_pref3",193,0.7192,-0.0473,0.0884,-0.9096,0.9648,""
