"Panel","Outcome","Period","Bandwidth","N","FemaleRes_Coef","FemaleRes_SE","Interaction_Coef","Interaction_SE"
"Coverage","coverage13_14","FY 2013-14",0.1,7263,-0.0766,3.0198,5.6867,11.8609
"Coverage","coverage13_14","FY 2013-14",0.075,5488,0.1079,3.6076,8.8526,14.2653
"Coverage","coverage13_14","FY 2013-14",0.05,3707,1.2812,4.1139,0.0132,15.523
"Coverage","coverage14_15","FY 2014-15",0.1,7263,0.3603,3.6731,-15.0971,17.4429
"Coverage","coverage14_15","FY 2014-15",0.075,5488,1.9683,4.445,-14.431,20.945
"Coverage","coverage14_15","FY 2014-15",0.05,3707,5.7648,5.5177,-23.6857,24.1645
"Coverage","coverage15_16","FY 2015-16",0.1,7263,4.5455,5.3789,-8.5176,45.7797
"Coverage","coverage15_16","FY 2015-16",0.075,5488,6.1526,7.008,-13.7332,62.3584
"Coverage","coverage15_16","FY 2015-16",0.05,3707,4.9077,9.3298,-35.8587,85.37
"Coverage","coverage16_17","FY 2016-17",0.1,7263,-11.6797,7.7336,107.4382,47.5577
"Coverage","coverage16_17","FY 2016-17",0.075,5488,-13.3198,9.4116,131.6849,57.5393
"Coverage","coverage16_17","FY 2016-17",0.05,3707,-18.236,11.743,153.3343,71.3784
"NREGA_Sanitation","nrega_sanit_2012","2012",0.1,372,-0.0376,0.0158,0.0897,0.0679
"NREGA_Sanitation","nrega_sanit_2012","2012",0.075,297,-0.0378,0.0191,0.0808,0.0786
"NREGA_Sanitation","nrega_sanit_2012","2012",0.05,201,-0.0461,0.0244,0.091,0.0979
"NREGA_Sanitation","nrega_sanit_2013","2013",0.1,1516,-0.0073,0.0273,0.0584,0.1191
"NREGA_Sanitation","nrega_sanit_2013","2013",0.075,1169,-0.0092,0.0345,0.0779,0.1561
"NREGA_Sanitation","nrega_sanit_2013","2013",0.05,774,-0.025,0.0468,0.1394,0.2166
"NREGA_Sanitation","nrega_sanit_2014","2014",0.1,1711,0.0095,0.0206,-0.05,0.0636
"NREGA_Sanitation","nrega_sanit_2014","2014",0.075,1293,-7e-04,0.0249,-0.0334,0.0761
"NREGA_Sanitation","nrega_sanit_2014","2014",0.05,881,-0.0083,0.031,-0.0614,0.0912
"NREGA_Sanitation","nrega_sanit_2015","2015",0.1,1387,0.004,0.0069,-0.0053,0.0211
"NREGA_Sanitation","nrega_sanit_2015","2015",0.075,1064,0.0047,0.0084,-0.0056,0.0261
"NREGA_Sanitation","nrega_sanit_2015","2015",0.05,732,0.0014,0.0105,-0.0047,0.0293
"NREGA_Sanitation","nrega_sanit_2016","2016",0.1,1030,0.0049,0.0081,-0.0583,0.0303
"NREGA_Sanitation","nrega_sanit_2016","2016",0.075,792,0.0018,0.0097,-0.0396,0.0358
"NREGA_Sanitation","nrega_sanit_2016","2016",0.05,554,-2e-04,0.0126,-0.0075,0.0387
"NREGA_Sanitation","nrega_sanit_2017","2017",0.1,1440,0.0232,0.0123,-0.0937,0.0404
"NREGA_Sanitation","nrega_sanit_2017","2017",0.075,1097,0.0259,0.016,-0.1175,0.0554
"NREGA_Sanitation","nrega_sanit_2017","2017",0.05,749,0.0284,0.023,-0.1212,0.0782
"NREGA_Total","nrega_total_2011","2011",0.1,6207,0.0359,0.0397,-0.064,0.1761
"NREGA_Total","nrega_total_2011","2011",0.075,4722,0.0556,0.0495,-0.1573,0.2205
"NREGA_Total","nrega_total_2011","2011",0.05,3181,0.066,0.0638,-0.2126,0.2825
"NREGA_Total","nrega_total_2012","2012",0.1,6197,0.01,0.0195,-0.0378,0.0929
"NREGA_Total","nrega_total_2012","2012",0.075,4717,0.0307,0.0241,-0.1501,0.1178
"NREGA_Total","nrega_total_2012","2012",0.05,3179,0.0413,0.031,-0.2344,0.1491
"NREGA_Total","nrega_total_2013","2013",0.1,6203,0.0038,0.0298,0.0477,0.1381
"NREGA_Total","nrega_total_2013","2013",0.075,4720,0.0286,0.037,-0.0468,0.1763
"NREGA_Total","nrega_total_2013","2013",0.05,3182,0.0481,0.0475,-0.1999,0.2228
"NREGA_Total","nrega_total_2014","2014",0.1,6232,0.0472,0.0402,-0.4552,0.2551
"NREGA_Total","nrega_total_2014","2014",0.075,4742,0.0689,0.0517,-0.5865,0.3477
"NREGA_Total","nrega_total_2014","2014",0.05,3198,0.0939,0.0699,-0.8755,0.4906
"NREGA_Total","nrega_total_2015","2015",0.1,6617,0.034,0.0231,-0.0701,0.1162
"NREGA_Total","nrega_total_2015","2015",0.075,5024,0.0576,0.0282,-0.1111,0.1448
"NREGA_Total","nrega_total_2015","2015",0.05,3376,0.065,0.0354,-0.1474,0.1728
"NREGA_Total","nrega_total_2016","2016",0.1,6824,0.0112,0.0427,0.1317,0.1955
"NREGA_Total","nrega_total_2016","2016",0.075,5172,0.022,0.0524,0.108,0.2342
"NREGA_Total","nrega_total_2016","2016",0.05,3491,0.0392,0.067,0.0255,0.2879
"NREGA_Total","nrega_total_2017","2017",0.1,6841,0.0266,0.0473,-0.1747,0.3102
"NREGA_Total","nrega_total_2017","2017",0.075,5187,0.0444,0.0579,-0.386,0.3979
"NREGA_Total","nrega_total_2017","2017",0.05,3500,0.0737,0.0743,-0.7026,0.544
